SLNO,Problem,Difficulty
279,279. Perfect Squares,Med.
280,280. Wiggle Sort,Med.
281,281. Zigzag Iterator,Med.
282,282. Expression Add Operators,Hard
283,283. Move Zeroes,Easy
284,284. Peeking Iterator,Med.
285,285. Inorder Successor in BST,Med.
286,286. Walls and Gates,Med.
287,287. Find the Duplicate Number,Med.
288,288. Unique Word Abbreviation,Med.
289,289. Game of Life,Med.
290,290. Word Pattern,Easy
291,291. Word Pattern II,Med.
292,292. Nim Game,Easy
293,293. Flip Game,Easy
294,294. Flip Game II,Med.
295,295. Find Median from Data Stream,Hard
296,296. Best Meeting Point,Hard
297,297. Serialize and Deserialize Binary Tree,Hard
298,298. Binary Tree Longest Consecutive Sequence,Med.
299,299. Bulls and Cows,Med.
300,300. Longest Increasing Subsequence,Med.
301,301. Remove Invalid Parentheses,Hard
302,302. Smallest Rectangle Enclosing Black Pixels,Hard
303,303. Range Sum Query - Immutable,Easy
304,304. Range Sum Query 2D - Immutable,Med.
305,305. Number of Islands II,Hard
306,306. Additive Number,Med.
307,307. Range Sum Query - Mutable,Med.
308,308. Range Sum Query 2D - Mutable,Med.
309,309. Best Time to Buy and Sell Stock with Cooldown,Med.
310,310. Minimum Height Trees,Med.
311,311. Sparse Matrix Multiplication,Med.
312,312. Burst Balloons,Hard
313,313. Super Ugly Number,Med.
314,314. Binary Tree Vertical Order Traversal,Med.
315,315. Count of Smaller Numbers After Self,Hard
316,316. Remove Duplicate Letters,Med.
317,317. Shortest Distance from All Buildings,Hard
318,318. Maximum Product of Word Lengths,Med.
319,319. Bulb Switcher,Med.
320,320. Generalized Abbreviation,Med.
321,321. Create Maximum Number,Hard
322,322. Coin Change,Med.
323,323. Number of Connected Components in an Undirected Graph,Med.
324,324. Wiggle Sort II,Med.
325,325. Maximum Size Subarray Sum Equals k,Med.
326,326. Power of Three,Easy
327,327. Count of Range Sum,Hard
328,328. Odd Even Linked List,Med.
329,329. Longest Increasing Path in a Matrix,Hard
330,330. Patching Array,Hard
331,331. Verify Preorder Serialization of a Binary Tree,Med.
332,332. Reconstruct Itinerary,Hard
333,333. Largest BST Subtree,Med.
334,334. Increasing Triplet Subsequence,Med.
335,335. Self Crossing,Hard
336,336. Palindrome Pairs,Hard
337,337. House Robber III,Med.
338,338. Counting Bits,Easy
339,339. Nested List Weight Sum,Med.
340,340. Longest Substring with At Most K Distinct Characters,Med.
341,341. Flatten Nested List Iterator,Med.
342,342. Power of Four,Easy
343,343. Integer Break,Med.
344,344. Reverse String,Easy
345,345. Reverse Vowels of a String,Easy
346,346. Moving Average from Data Stream,Easy
347,347. Top K Frequent Elements,Med.
348,348. Design Tic-Tac-Toe,Med.
349,349. Intersection of Two Arrays,Easy
350,350. Intersection of Two Arrays II,Easy
351,351. Android Unlock Patterns,Med.
352,352. Data Stream as Disjoint Intervals,Hard
353,353. Design Snake Game,Med.
354,354. Russian Doll Envelopes,Hard
355,355. Design Twitter,Med.
356,356. Line Reflection,Med.
357,357. Count Numbers with Unique Digits,Med.
358,358. Rearrange String k Distance Apart,Hard
359,359. Logger Rate Limiter,Easy
360,360. Sort Transformed Array,Med.
361,361. Bomb Enemy,Med.
362,362. Design Hit Counter,Med.
363,363. Max Sum of Rectangle No Larger Than K,Hard
364,364. Nested List Weight Sum II,Med.
365,365. Water and Jug Problem,Med.
366,366. Find Leaves of Binary Tree,Med.
367,367. Valid Perfect Square,Easy
368,368. Largest Divisible Subset,Med.
369,369. Plus One Linked List,Med.
370,370. Range Addition,Med.
371,371. Sum of Two Integers,Med.
372,372. Super Pow,Med.
373,373. Find K Pairs with Smallest Sums,Med.
374,374. Guess Number Higher or Lower,Easy
375,375. Guess Number Higher or Lower II,Med.
376,376. Wiggle Subsequence,Med.
377,377. Combination Sum IV,Med.
378,378. Kth Smallest Element in a Sorted Matrix,Med.
379,379. Design Phone Directory,Med.
380,380. Insert Delete GetRandom O(1),Med.
381,381. Insert Delete GetRandom O(1) - Duplicates allowed,Hard
382,382. Linked List Random Node,Med.
383,383. Ransom Note,Easy
384,384. Shuffle an Array,Med.
385,385. Mini Parser,Med.
386,386. Lexicographical Numbers,Med.
387,387. First Unique Character in a String,Easy
388,388. Longest Absolute File Path,Med.
389,389. Find the Difference,Easy
390,390. Elimination Game,Med.
391,391. Perfect Rectangle,Hard
392,392. Is Subsequence,Easy
393,393. UTF-8 Validation,Med.
394,394. Decode String,Med.
395,395. Longest Substring with At Least K Repeating Characters,Med.
396,396. Rotate Function,Med.
397,397. Integer Replacement,Med.
398,398. Random Pick Index,Med.
399,399. Evaluate Division,Med.
400,400. Nth Digit,Med.
401,401. Binary Watch,Easy
402,402. Remove K Digits,Med.
403,403. Frog Jump,Hard
404,404. Sum of Left Leaves,Easy
405,405. Convert a Number to Hexadecimal,Easy
406,406. Queue Reconstruction by Height,Med.
407,407. Trapping Rain Water II,Hard
408,408. Valid Word Abbreviation,Easy
409,409. Longest Palindrome,Easy
410,410. Split Array Largest Sum,Hard
411,411. Minimum Unique Word Abbreviation,Hard
412,412. Fizz Buzz,Easy
413,413. Arithmetic Slices,Med.
414,414. Third Maximum Number,Easy
415,415. Add Strings,Easy
416,416. Partition Equal Subset Sum,Med.
417,417. Pacific Atlantic Water Flow,Med.
418,418. Sentence Screen Fitting,Med.
419,419. Battleships in a Board,Med.
420,420. Strong Password Checker,Hard
421,421. Maximum XOR of Two Numbers in an Array,Med.
422,422. Valid Word Square,Easy
423,423. Reconstruct Original Digits from English,Med.
424,424. Longest Repeating Character Replacement,Med.
425,425. Word Squares,Hard
426,426. Convert Binary Search Tree to Sorted Doubly Linked List,Med.
427,427. Construct Quad Tree,Med.
428,428. Serialize and Deserialize N-ary Tree,Hard
429,429. N-ary Tree Level Order Traversal,Med.
430,430. Flatten a Multilevel Doubly Linked List,Med.
431,431. Encode N-ary Tree to Binary Tree,Hard
432,432. All O`one Data Structure,Hard
433,433. Minimum Genetic Mutation,Med.
434,434. Number of Segments in a String,Easy
435,435. Non-overlapping Intervals,Med.
436,436. Find Right Interval,Med.
437,437. Path Sum III,Med.
438,438. Find All Anagrams in a String,Med.
439,439. Ternary Expression Parser,Med.
440,440. K-th Smallest in Lexicographical Order,Hard
441,441. Arranging Coins,Easy
442,442. Find All Duplicates in an Array,Med.
443,443. String Compression,Med.
444,444. Sequence Reconstruction,Med.
445,445. Add Two Numbers II,Med.
446,446. Arithmetic Slices II - Subsequence,Hard
447,447. Number of Boomerangs,Med.
448,448. Find All Numbers Disappeared in an Array,Easy
449,449. Serialize and Deserialize BST,Med.
450,450. Delete Node in a BST,Med.
451,451. Sort Characters By Frequency,Med.
452,452. Minimum Number of Arrows to Burst Balloons,Med.
453,453. Minimum Moves to Equal Array Elements,Med.
454,454. 4Sum II,Med.
455,455. Assign Cookies,Easy
456,456. 132 Pattern,Med.
457,457. Circular Array Loop,Med.
458,458. Poor Pigs,Hard
459,459. Repeated Substring Pattern,Easy
460,460. LFU Cache,Hard
461,461. Hamming Distance,Easy
462,462. Minimum Moves to Equal Array Elements II,Med.
463,463. Island Perimeter,Easy
464,464. Can I Win,Med.
465,465. Optimal Account Balancing,Hard
466,466. Count The Repetitions,Hard
467,467. Unique Substrings in Wraparound String,Med.
468,468. Validate IP Address,Med.
469,469. Convex Polygon,Med.
470,470. Implement Rand10() Using Rand7(),Med.
471,471. Encode String with Shortest Length,Hard
472,472. Concatenated Words,Hard
473,473. Matchsticks to Square,Med.
474,474. Ones and Zeroes,Med.
475,475. Heaters,Med.
476,476. Number Complement,Easy
477,477. Total Hamming Distance,Med.
478,478. Generate Random Point in a Circle,Med.
479,479. Largest Palindrome Product,Hard
480,480. Sliding Window Median,Hard
481,481. Magical String,Med.
482,482. License Key Formatting,Easy
483,483. Smallest Good Base,Hard
484,484. Find Permutation,Med.
485,485. Max Consecutive Ones,Easy
486,486. Predict the Winner,Med.
487,487. Max Consecutive Ones II,Med.
488,488. Zuma Game,Hard
489,489. Robot Room Cleaner,Hard
490,490. The Maze,Med.
491,491. Non-decreasing Subsequences,Med.
492,492. Construct the Rectangle,Easy
493,493. Reverse Pairs,Hard
494,494. Target Sum,Med.
495,495. Teemo Attacking,Easy
496,496. Next Greater Element I,Easy
497,497. Random Point in Non-overlapping Rectangles,Med.
498,498. Diagonal Traverse,Med.
499,499. The Maze III,Hard
500,500. Keyboard Row,Easy
501,501. Find Mode in Binary Search Tree,Easy
502,502. IPO,Hard
503,503. Next Greater Element II,Med.
504,504. Base 7,Easy
505,505. The Maze II,Med.
506,506. Relative Ranks,Easy
507,507. Perfect Number,Easy
508,508. Most Frequent Subtree Sum,Med.
509,509. Fibonacci Number,Easy
510,510. Inorder Successor in BST II,Med.
511,511. Game Play Analysis I,Easy
512,512. Game Play Analysis II,Easy
513,513. Find Bottom Left Tree Value,Med.
514,514. Freedom Trail,Hard
515,515. Find Largest Value in Each Tree Row,Med.
516,516. Longest Palindromic Subsequence,Med.
517,517. Super Washing Machines,Hard
518,518. Coin Change II,Med.
519,519. Random Flip Matrix,Med.
520,520. Detect Capital,Easy
521,521. Longest Uncommon Subsequence I,Easy
522,522. Longest Uncommon Subsequence II,Med.
523,523. Continuous Subarray Sum,Med.
524,524. Longest Word in Dictionary through Deleting,Med.
525,525. Contiguous Array,Med.
526,526. Beautiful Arrangement,Med.
527,527. Word Abbreviation,Hard
528,528. Random Pick with Weight,Med.
529,529. Minesweeper,Med.
530,530. Minimum Absolute Difference in BST,Easy
531,531. Lonely Pixel I,Med.
532,532. K-diff Pairs in an Array,Med.
533,533. Lonely Pixel II,Med.
534,534. Game Play Analysis III,Med.
535,535. Encode and Decode TinyURL,Med.
536,536. Construct Binary Tree from String,Med.
537,537. Complex Number Multiplication,Med.
538,538. Convert BST to Greater Tree,Med.
539,539. Minimum Time Difference,Med.
540,540. Single Element in a Sorted Array,Med.
541,541. Reverse String II,Easy
542,542. 01 Matrix,Med.
543,543. Diameter of Binary Tree,Easy
544,544. Output Contest Matches,Med.
545,545. Boundary of Binary Tree,Med.
546,546. Remove Boxes,Hard
547,547. Number of Provinces,Med.
548,548. Split Array with Equal Sum,Hard
549,549. Binary Tree Longest Consecutive Sequence II,Med.
550,550. Game Play Analysis IV,Med.
551,551. Student Attendance Record I,Easy
552,552. Student Attendance Record II,Hard
553,553. Optimal Division,Med.
554,554. Brick Wall,Med.
555,555. Split Concatenated Strings,Med.
556,556. Next Greater Element III,Med.
557,557. Reverse Words in a String III,Easy
558,558. Logical OR of Two Binary Grids Represented as Quad-Trees,Med.
559,559. Maximum Depth of N-ary Tree,Easy
560,560. Subarray Sum Equals K,Med.
561,561. Array Partition,Easy
562,562. Longest Line of Consecutive One in Matrix,Med.
563,563. Binary Tree Tilt,Easy
564,564. Find the Closest Palindrome,Hard
565,565. Array Nesting,Med.
566,566. Reshape the Matrix,Easy
567,567. Permutation in String,Med.
568,568. Maximum Vacation Days,Hard
569,569. Median Employee Salary,Hard
570,570. Managers with at Least 5 Direct Reports,Med.
571,571. Find Median Given Frequency of Numbers,Hard
572,572. Subtree of Another Tree,Easy
573,573. Squirrel Simulation,Med.
574,574. Winning Candidate,Med.
575,575. Distribute Candies,Easy
576,576. Out of Boundary Paths,Med.
577,577. Employee Bonus,Easy
578,578. Get Highest Answer Rate Question,Med.
579,579. Find Cumulative Salary of an Employee,Hard
580,580. Count Student Number in Departments,Med.
581,581. Shortest Unsorted Continuous Subarray,Med.
582,582. Kill Process,Med.
583,583. Delete Operation for Two Strings,Med.
584,584. Find Customer Referee,Easy
585,585. Investments in 2016,Med.
586,586. Customer Placing the Largest Number of Orders,Easy
587,587. Erect the Fence,Hard
588,588. Design In-Memory File System,Hard
589,589. N-ary Tree Preorder Traversal,Easy
590,590. N-ary Tree Postorder Traversal,Easy
591,591. Tag Validator,Hard
592,592. Fraction Addition and Subtraction,Med.
593,593. Valid Square,Med.
594,594. Longest Harmonious Subsequence,Easy
595,595. Big Countries,Easy
596,596. Classes With at Least 5 Students,Easy
597,597. Friend Requests I: Overall Acceptance Rate,Easy
598,598. Range Addition II,Easy
599,599. Minimum Index Sum of Two Lists,Easy
600,600. Non-negative Integers without Consecutive Ones,Hard
601,601. Human Traffic of Stadium,Hard
602,602. Friend Requests II: Who Has the Most Friends,Med.
603,603. Consecutive Available Seats,Easy
604,604. Design Compressed String Iterator,Easy
605,605. Can Place Flowers,Easy
606,606. Construct String from Binary Tree,Med.
607,607. Sales Person,Easy
608,608. Tree Node,Med.
609,609. Find Duplicate File in System,Med.
610,610. Triangle Judgement,Easy
611,611. Valid Triangle Number,Med.
612,612. Shortest Distance in a Plane,Med.
613,613. Shortest Distance in a Line,Easy
614,614. Second Degree Follower,Med.
615,615. Average Salary: Departments VS Company,Hard
616,616. Add Bold Tag in String,Med.
617,617. Merge Two Binary Trees,Easy
618,618. Students Report By Geography,Hard
619,619. Biggest Single Number,Easy
620,620. Not Boring Movies,Easy
621,621. Task Scheduler,Med.
622,622. Design Circular Queue,Med.
623,623. Add One Row to Tree,Med.
624,624. Maximum Distance in Arrays,Med.
625,625. Minimum Factorization,Med.
626,626. Exchange Seats,Med.
627,627. Swap Salary,Easy
628,628. Maximum Product of Three Numbers,Easy
629,629. K Inverse Pairs Array,Hard
630,630. Course Schedule III,Hard
631,631. Design Excel Sum Formula,Hard
632,632. Smallest Range Covering Elements from K Lists,Hard
633,633. Sum of Square Numbers,Med.
634,634. Find the Derangement of An Array,Med.
635,635. Design Log Storage System,Med.
636,636. Exclusive Time of Functions,Med.
637,637. Average of Levels in Binary Tree,Easy
638,638. Shopping Offers,Med.
639,639. Decode Ways II,Hard
640,640. Solve the Equation,Med.
641,641. Design Circular Deque,Med.
642,642. Design Search Autocomplete System,Hard
643,643. Maximum Average Subarray I,Easy
644,644. Maximum Average Subarray II,Hard
645,645. Set Mismatch,Easy
646,646. Maximum Length of Pair Chain,Med.
647,647. Palindromic Substrings,Med.
648,648. Replace Words,Med.
649,649. Dota2 Senate,Med.
650,650. 2 Keys Keyboard,Med.
651,651. 4 Keys Keyboard,Med.
652,652. Find Duplicate Subtrees,Med.
653,653. Two Sum IV - Input is a BST,Easy
654,654. Maximum Binary Tree,Med.
655,655. Print Binary Tree,Med.
656,656. Coin Path,Hard
657,657. Robot Return to Origin,Easy
658,658. Find K Closest Elements,Med.
659,659. Split Array into Consecutive Subsequences,Med.
660,660. Remove 9,Hard
661,661. Image Smoother,Easy
662,662. Maximum Width of Binary Tree,Med.
663,663. Equal Tree Partition,Med.
664,664. Strange Printer,Hard
665,665. Non-decreasing Array,Med.
666,666. Path Sum IV,Med.
667,667. Beautiful Arrangement II,Med.
668,668. Kth Smallest Number in Multiplication Table,Hard
669,669. Trim a Binary Search Tree,Med.
670,670. Maximum Swap,Med.
671,671. Second Minimum Node In a Binary Tree,Easy
672,672. Bulb Switcher II,Med.
673,673. Number of Longest Increasing Subsequence,Med.
674,674. Longest Continuous Increasing Subsequence,Easy
675,675. Cut Off Trees for Golf Event,Hard
676,676. Implement Magic Dictionary,Med.
677,677. Map Sum Pairs,Med.
678,678. Valid Parenthesis String,Med.
679,679. 24 Game,Hard
680,680. Valid Palindrome II,Easy
681,681. Next Closest Time,Med.
682,682. Baseball Game,Easy
683,683. K Empty Slots,Hard
684,684. Redundant Connection,Med.
685,685. Redundant Connection II,Hard
686,686. Repeated String Match,Med.
687,687. Longest Univalue Path,Med.
688,688. Knight Probability in Chessboard,Med.
689,689. Maximum Sum of 3 Non-Overlapping Subarrays,Hard
690,690. Employee Importance,Med.
691,691. Stickers to Spell Word,Hard
692,692. Top K Frequent Words,Med.
693,693. Binary Number with Alternating Bits,Easy
694,694. Number of Distinct Islands,Med.
695,695. Max Area of Island,Med.
696,696. Count Binary Substrings,Easy
697,697. Degree of an Array,Easy
698,698. Partition to K Equal Sum Subsets,Med.
699,699. Falling Squares,Hard
700,700. Search in a Binary Search Tree,Easy
701,701. Insert into a Binary Search Tree,Med.
702,702. Search in a Sorted Array of Unknown Size,Med.
703,703. Kth Largest Element in a Stream,Easy
704,704. Binary Search,Easy
705,705. Design HashSet,Easy
706,706. Design HashMap,Easy
707,707. Design Linked List,Med.
708,708. Insert into a Sorted Circular Linked List,Med.
709,709. To Lower Case,Easy
710,710. Random Pick with Blacklist,Hard
711,711. Number of Distinct Islands II,Hard
712,712. Minimum ASCII Delete Sum for Two Strings,Med.
713,713. Subarray Product Less Than K,Med.
714,714. Best Time to Buy and Sell Stock with Transaction Fee,Med.
715,715. Range Module,Hard
716,716. Max Stack,Hard
717,717. 1-bit and 2-bit Characters,Easy
718,718. Maximum Length of Repeated Subarray,Med.
719,719. Find K-th Smallest Pair Distance,Hard
720,720. Longest Word in Dictionary,Med.
721,721. Accounts Merge,Med.
722,722. Remove Comments,Med.
723,723. Candy Crush,Med.
724,724. Find Pivot Index,Easy
725,725. Split Linked List in Parts,Med.
726,726. Number of Atoms,Hard
727,727. Minimum Window Subsequence,Hard
728,728. Self Dividing Numbers,Easy
729,729. My Calendar I,Med.
730,730. Count Different Palindromic Subsequences,Hard
731,731. My Calendar II,Med.
732,732. My Calendar III,Hard
733,733. Flood Fill,Easy
734,734. Sentence Similarity,Easy
735,735. Asteroid Collision,Med.
736,736. Parse Lisp Expression,Hard
737,737. Sentence Similarity II,Med.
738,738. Monotone Increasing Digits,Med.
739,739. Daily Temperatures,Med.
740,740. Delete and Earn,Med.
741,741. Cherry Pickup,Hard
742,742. Closest Leaf in a Binary Tree,Med.
743,743. Network Delay Time,Med.
744,744. Find Smallest Letter Greater Than Target,Easy
745,745. Prefix and Suffix Search,Hard
746,746. Min Cost Climbing Stairs,Easy
747,747. Largest Number At Least Twice of Others,Easy
